search_type,index_name,model_name,num_es_results,num_es_candidates,similarity,sim_opt,model_prefix
hybrid,mpnet_cosine_manual_index,multi-qa-mpnet-base-dot-v1,5,25,50,cosine,mpnet_
hybrid,mpnet_l2_norm_manual_index,multi-qa-mpnet-base-dot-v1,5,25,50,l2_norm,mpnet_
hybrid,mpnet_cosine_manual_index,multi-qa-mpnet-base-dot-v1,5,25,60,cosine,mpnet_
hybrid,mpnet_l2_norm_manual_index,multi-qa-mpnet-base-dot-v1,5,25,60,l2_norm,mpnet_
hybrid,cosine_manual_index,multi-qa-distilbert-cos-v1,10,25,20,cosine,
hybrid,l2_norm_manual_index,multi-qa-distilbert-cos-v1,10,25,20,l2_norm,
hybrid,cosine_manual_index,multi-qa-distilbert-cos-v1,10,25,30,cosine,
hybrid,l2_norm_manual_index,multi-qa-distilbert-cos-v1,10,25,30,l2_norm,
hybrid,cosine_manual_index,multi-qa-distilbert-cos-v1,10,25,40,cosine,
hybrid,l2_norm_manual_index,multi-qa-distilbert-cos-v1,10,25,40,l2_norm,
hybrid,cosine_manual_index,multi-qa-distilbert-cos-v1,10,25,50,cosine,
hybrid,l2_norm_manual_index,multi-qa-distilbert-cos-v1,10,25,50,l2_norm,
hybrid,cosine_manual_index,multi-qa-distilbert-cos-v1,10,25,60,cosine,
hybrid,l2_norm_manual_index,multi-qa-distilbert-cos-v1,10,25,60,l2_norm,
hybrid,mpnet_cosine_manual_index,multi-qa-mpnet-base-dot-v1,10,25,20,cosine,mpnet_
hybrid,mpnet_l2_norm_manual_index,multi-qa-mpnet-base-dot-v1,10,25,20,l2_norm,mpnet_
hybrid,mpnet_cosine_manual_index,multi-qa-mpnet-base-dot-v1,10,25,30,cosine,mpnet_
hybrid,mpnet_l2_norm_manual_index,multi-qa-mpnet-base-dot-v1,10,25,30,l2_norm,mpnet_
hybrid,mpnet_cosine_manual_index,multi-qa-mpnet-base-dot-v1,10,25,40,cosine,mpnet_
hybrid,mpnet_l2_norm_manual_index,multi-qa-mpnet-base-dot-v1,10,25,40,l2_norm,mpnet_
hybrid,mpnet_cosine_manual_index,multi-qa-mpnet-base-dot-v1,10,25,50,cosine,mpnet_
hybrid,mpnet_l2_norm_manual_index,multi-qa-mpnet-base-dot-v1,10,25,50,l2_norm,mpnet_
hybrid,mpnet_cosine_manual_index,multi-qa-mpnet-base-dot-v1,10,25,60,cosine,mpnet_
hybrid,mpnet_l2_norm_manual_index,multi-qa-mpnet-base-dot-v1,10,25,60,l2_norm,mpnet_
hybrid,cosine_manual_index,multi-qa-distilbert-cos-v1,5,50,20,cosine,
hybrid,l2_norm_manual_index,multi-qa-distilbert-cos-v1,5,50,20,l2_norm,
hybrid,cosine_manual_index,multi-qa-distilbert-cos-v1,5,50,30,cosine,
hybrid,l2_norm_manual_index,multi-qa-distilbert-cos-v1,5,50,30,l2_norm,
hybrid,cosine_manual_index,multi-qa-distilbert-cos-v1,5,50,40,cosine,
hybrid,l2_norm_manual_index,multi-qa-distilbert-cos-v1,5,50,40,l2_norm,
